symbol,name,industry,sector,country,region,revenue,employees,market_cap
NN,Company 0,Healthcare,Healthcare,USA,North America,100000000,1000,500000000
OOD,Company 1,Pharmaceuticals,Technology,Germany,Europe,200000000,2000,1000000000
PP,Company 2,Technology,Financial Services,India,Asia,300000000,3000,1500000000
QQF,Company 3,Software,Industrials,Brazil,South America,400000000,4000,2000000000
RR,Company 4,Financial Services,Consumer Discretionary,Canada,North America,500000000,5000,2500000000
SSH,Company 5,Banking,Energy,Italy,Europe,600000000,6000,3000000000
TT,Company 6,Manufacturing,Communication Services,India,Asia,700000000,7000,3500000000
UUJ,Company 7,Retail,Consumer Staples,Argentina,South America,800000000,8000,4000000000
VV,Company 8,Energy,Materials,Mexico,North America,900000000,9000,4500000000
WWL,Company 9,Consumer Goods,Utilities,France,Europe,1000000000,10000,5000000000
XX,Company 10,Telecommunications,Real Estate,India,Asia,100000000,11000,5500000000
YYN,Company 11,Automotive,Healthcare,Chile,South America,200000000,12000,6000000000
ZZ,Company 12,Healthcare,Technology,USA,North America,300000000,13000,6500000000
AAP,Company 13,Pharmaceuticals,Financial Services,Spain,Europe,400000000,14000,7000000000
BB,Company 14,Technology,Industrials,India,Asia,500000000,15000,7500000000
CCR,Company 15,Software,Consumer Discretionary,Brazil,South America,600000000,16000,500000000
DD,Company 16,Financial Services,Energy,Canada,North America,700000000,17000,1000000000
EET,Company 17,Banking,Communication Services,Finland,Europe,800000000,18000,1500000000
FF,Company 18,Manufacturing,Consumer Staples,India,Asia,900000000,19000,2000000000
GGV,Company 19,Retail,Materials,Argentina,South America,1000000000,20000,2500000000
HH,Company 20,Energy,Utilities,Mexico,North America,100000000,1000,3000000000
IIX,Company 21,Consumer Goods,Real Estate,UK,Europe,200000000,2000,3500000000
JJ,Company 22,Telecommunications,Healthcare,India,Asia,300000000,3000,4000000000
KKZ,Company 23,Automotive,Technology,Chile,South America,400000000,4000,4500000000
LL,Company 24,Healthcare,Financial Services,USA,North America,500000000,5000,5000000000
MMB,Company 25,Pharmaceuticals,Industrials,Sweden,Europe,600000000,6000,5500000000
